# GJ 581 HARPS observations
# Velocities and errors from Forveille et al. (2011, arXiv:1109.2505F)
# Indicators from Robertson et al. (2014, Science, 345, 440)
# According to R14, NaD is dominated by night sky emission
BJD-2450000 Halpha eHalpha NaD eNaD RV eRV
4340.55578099 0.08191 0.00113 0.06281 0.00210 -1.65 0.90
4342.48620376 0.08193 0.00111 0.06358 0.00208 19.05 1.10
4349.51516265 0.08154 0.00107 0.06443 0.00208 -11.85 1.00
4530.85566014 0.08240 0.00105 0.06261 0.00203 8.25 1.00
4550.83127371 0.08210 0.00101 0.06354 0.00201 6.45 0.90
4553.80372171 0.08208 0.00101 0.06325 0.00206 -12.85 0.80
4563.83800153 0.08207 0.00104 0.06247 0.00209 -3.95 0.90
4566.76114737 0.08212 0.00105 0.06349 0.00216 0.95 1.10
4567.79167115 0.08154 0.00104 0.06256 0.00216 9.35 1.00
4569.79330162 0.08218 0.00103 0.06298 0.00208 -14.35 1.00
4570.80424813 0.08215 0.00105 0.06443 0.00217 -14.35 1.00
4571.81837609 0.08150 0.00103 0.06390 0.00217 4.15 1.10
4587.86196779 0.08238 0.00104 0.06416 0.00213 3.55 1.60
4588.83879925 0.08157 0.00107 0.06267 0.00199 9.75 1.10
4589.82749271 0.08215 0.00106 0.06274 0.00197 6.05 1.10
4590.81963366 0.08232 0.00105 0.06286 0.00198 -4.95 1.00
4591.81712025 0.08153 0.00107 0.06344 0.00220 -19.55 1.60
4592.82733676 0.08186 0.00106 0.06280 0.00195 -9.75 0.90
# 4610.74293237 0.08769 0.00103 0.07275 0.00157 19.55 1.10
4611.71347745 0.08142 0.00107 0.06282 0.00200 9.05 0.90
4616.71302788 0.08264 0.00107 0.06292 0.00196 8.75 1.40
4639.68650798 0.08244 0.00109 0.06072 0.00202 -9.55 1.10
4640.65440901 0.08258 0.00105 0.06104 0.00216 -10.15 1.40
4641.63170643 0.08245 0.00108 0.06149 0.00205 1.65 1.00
4643.64499761 0.08232 0.00110 0.06005 0.00223 2.35 1.30
4644.58702786 0.08198 0.00102 0.06107 0.00208 -9.85 1.30
4646.62535674 0.08234 0.00108 0.06091 0.00215 -7.05 1.20
4647.57911911 0.08227 0.00108 0.05998 0.00208 7.85 1.10
4648.48481691 0.08186 0.00108 0.06251 0.00210 10.05 1.10
4661.55370583 0.08132 0.00107 0.06268 0.00202 -11.65 1.20
4662.54940760 0.08056 0.00107 0.06251 0.00209 -1.05 1.40
4663.54486562 0.08132 0.00106 0.06269 0.00208 14.15 1.20
4664.55304174 0.08074 0.00107 0.06230 0.00203 13.25 1.30
4665.56937618 0.08124 0.00107 0.06255 0.00203 6.65 1.00
4672.53172294 0.08026 0.00109 0.06249 0.00218 -4.55 1.90
4674.52411958 0.08048 0.00111 0.06394 0.00216 9.35 1.40
4677.50511368 0.08072 0.00110 0.06399 0.00207 -9.55 1.10
4678.55678527 0.08076 0.00113 0.06205 0.00203 2.85 1.20
4679.50403353 0.08128 0.00109 0.06462 0.00220 13.25 1.70
4681.51414324 0.08134 0.00110 0.06167 0.00215 3.15 1.50
4682.50334275 0.08140 0.00107 0.06151 0.00204 -5.85 1.40
4701.48507398 0.08138 0.00105 0.06400 0.00203 14.15 1.30
4703.51304213 0.08203 0.00107 0.06543 0.00212 -1.75 1.30
4708.47904950 0.08118 0.00106 0.06442 0.00212 -5.35 1.20
4721.47303256 0.08173 0.00103 0.06714 0.00226 -14.45 1.30
4722.47237098 0.08166 0.00104 0.06531 0.00225 2.65 1.20
4916.91734966 0.08142 0.00105 0.06276 0.00202 4.55 1.00
4919.77750721 0.08103 0.00105 0.06266 0.00206 -13.95 0.90
4935.69136142 0.08138 0.00102 0.06418 0.00213 -13.75 1.10
4938.77022542 0.08154 0.00108 0.06574 0.00210 4.85 1.10
4941.70398890 0.08085 0.00103 0.06532 0.00207 -12.45 1.00
4946.74298194 0.08089 0.00105 0.06887 0.00205 -4.95 1.10
4955.79357698 0.08117 0.00109 0.06708 0.00188 -6.75 1.00
4989.67873633 0.08079 0.00107 0.06836 0.00201 -5.55 1.00
4993.61155423 0.08180 0.00111 0.06705 0.00194 -6.45 1.00
5049.51551307 0.08214 0.00108 0.06293 0.00220 -0.25 1.30
5056.52501198 0.08135 0.00115 0.05881 0.00253 12.45 2.90
5227.84095142 0.08066 0.00107 0.06450 0.00199 11.35 1.10
5229.88061948 0.07969 0.00108 0.06544 0.00199 -5.75 1.40
5230.85894510 0.07991 0.00111 0.06717 0.00205 -8.15 1.80
5232.88302245 0.07982 0.00103 0.06516 0.00197 16.25 1.80
5272.83531355 0.08011 0.00103 0.05985 0.00281 -2.85 1.10
5275.80926058 0.08082 0.00102 0.06117 0.00341 9.25 1.30
5277.83040795 0.08134 0.00105 0.06256 0.00192 -1.75 1.20
5282.86587023 0.08249 0.00106 0.06328 0.00207 1.45 1.20
5292.84315218 0.08479 0.00104 0.06355 0.00204 7.45 1.10
5294.77401958 0.08422 0.00101 0.06239 0.00209 -17.25 1.00
5295.68471470 0.08380 0.00104 0.06330 0.00215 -13.45 1.30
5297.76796578 0.08419 0.00103 0.06233 0.00214 10.05 1.00
5298.73451600 0.08492 0.00105 0.06320 0.00213 4.05 1.00
5299.68211722 0.08523 0.00108 0.06602 0.00226 -7.15 1.70
5300.72869129 0.08378 0.00108 0.06077 0.00210 -15.15 1.30
5301.84322951 0.08335 0.00105 0.06259 0.00213 -6.25 1.20
5305.80849866 0.08292 0.00104 0.06334 0.00210 -12.65 1.00
5306.76723577 0.08336 0.00103 0.06313 0.00210 -6.85 1.00
5307.76067164 0.08230 0.00105 0.06295 0.00206 8.65 0.80
5308.75780976 0.08244 0.00104 0.06196 0.00199 17.75 0.90
5309.76544430 0.08182 0.00104 0.06430 0.00207 4.45 0.90
5321.70851551 0.08024 0.00104 0.06460 0.00216 -5.65 1.00
5325.66237320 0.07960 0.00105 0.06479 0.00205 5.45 1.30
5326.61457483 0.07948 0.00105 0.06378 0.00208 -9.55 1.30
5328.63743408 0.07958 0.00101 0.06403 0.00225 -3.65 1.60
5334.66358749 0.08001 0.00102 0.06579 0.00214 14.05 1.30
5336.78989062 0.07974 0.00106 0.06736 0.00195 5.05 1.00
5337.65472672 0.08076 0.00104 0.06753 0.00205 -7.25 1.40
5349.63633994 0.08021 0.00108 0.06629 0.00220 3.85 3.00
5353.57755608 0.07966 0.00106 0.06567 0.00186 -11.25 1.30
5354.60680719 0.08016 0.00103 0.06506 0.00193 -16.35 1.30
5355.53696386 0.08052 0.00107 0.06516 0.00188 -1.15 1.30
5359.56247042 0.08126 0.00107 0.06532 0.00192 -7.75 1.20
5370.57817460 0.07979 0.00107 0.05973 0.00367 -11.45 2.00
5372.55365945 0.08066 0.00114 0.06559 0.00213 12.65 1.50
5373.60233934 0.08073 0.00109 0.06293 0.00203 11.75 1.20
5374.61617082 0.08046 0.00105 0.06330 0.00205 -2.35 1.50
5375.55662662 0.08059 0.00106 0.06410 0.00205 -9.45 1.40
5389.64755703 0.08043 0.00110 0.06209 0.00202 11.95 1.50
5390.54432217 0.08028 0.00113 0.04905 0.00302 4.65 4.70
5391.54670272 0.08079 0.00103 0.06603 0.00196 -13.25 1.40
5396.49708365 0.08000 0.00106 0.06604 0.00229 -8.45 2.10
5399.54016828 0.08106 0.00107 0.06579 0.00188 18.65 1.30
5401.52230318 0.08054 0.00109 0.06352 0.00227 -0.25 1.70
5407.49699247 0.08095 0.00106 0.06430 0.00194 -11.35 1.00
5408.50167800 0.08073 0.00103 0.06331 0.00221 -5.05 1.90
5410.55603221 0.08142 0.00113 0.06728 0.00188 16.85 1.20
5411.51484151 0.08386 0.00108 0.06561 0.00195 8.75 1.50
5423.51170893 0.08197 0.00108 0.06384 0.00207 -11.05 1.10
5427.49845525 0.08560 0.00108 0.06499 0.00194 8.55 1.10
5428.48093062 0.08305 0.00106 0.06267 0.00215 -4.75 1.30
5434.51127301 0.08306 0.00106 0.06361 0.00205 -15.65 1.20
5435.48704963 0.08317 0.00107 0.06207 0.00208 -11.65 1.00
5436.48340340 0.08284 0.00106 0.06282 0.00214 3.65 0.90
5437.51431457 0.08276 0.00109 0.06251 0.00209 14.85 0.90
5439.48708402 0.08228 0.00109 0.06168 0.00215 -9.55 1.00
5443.49985669 0.08275 0.00115 0.06197 0.00239 2.95 2.10
5444.48950218 0.08236 0.00108 0.05653 0.00305 -10.55 1.10
5445.49327897 0.08190 0.00108 0.06341 0.00224 -21.95 1.20
5450.48002349 0.08130 0.00108 0.06307 0.00216 -10.35 1.40
5453.48660148 0.08145 0.00112 0.06394 0.00219 14.85 1.20
5454.47679838 0.08125 0.00105 0.06584 0.00238 4.15 1.40
5455.48896200 0.08098 0.00109 0.06401 0.00214 -9.45 1.30
5457.47396646 0.08089 0.00106 0.06624 0.00201 -4.35 1.00
5458.48996366 0.08064 0.00108 0.06546 0.00209 6.65 1.30
5464.48161306 0.08033 0.00107 0.06409 0.00222 16.45 1.70
5626.90847403 0.07998 0.00107 0.06121 0.00208 -3.85 1.70
5627.86993694 0.08031 0.00108 0.06323 0.00210 -16.65 1.20
5629.88249802 0.08046 0.00105 0.06304 0.00194 7.15 1.00
5630.88944867 0.08065 0.00106 0.06230 0.00209 14.55 1.20
5633.83855319 0.07954 0.00105 0.06280 0.00197 -11.05 0.90
5634.83780289 0.08131 0.00105 0.06303 0.00202 1.45 1.10
5635.80037040 0.08145 0.00104 0.06229 0.00205 14.95 1.40
5638.87580215 0.08186 0.00105 0.06353 0.00202 -13.95 1.10
5639.82564487 0.08131 0.00105 0.06120 0.00201 -8.45 1.00
5641.85816153 0.08086 0.00103 0.06407 0.00200 9.75 1.00
5642.78864791 0.08168 0.00105 0.06322 0.00208 -0.75 1.20
5644.87267782 0.08130 0.00105 0.06306 0.00206 -5.45 1.10
5646.85118609 0.08075 0.00105 0.06294 0.00209 12.95 1.20
5647.86059610 0.08116 0.00103 0.06037 0.00206 1.85 1.00
5648.89759932 0.08162 0.00101 0.06159 0.00198 -9.95 1.10
5652.83977562 0.08195 0.00105 0.06204 0.00200 3.75 1.10
5653.72223734 0.08276 0.00104 0.06077 0.00195 -8.65 1.10
5654.68243413 0.08150 0.00104 0.06293 0.00194 -15.85 1.10
5656.75878190 0.08220 0.00103 0.06070 0.00205 6.15 1.00
5657.76630370 0.08153 0.00103 0.06208 0.00206 14.25 1.10
5658.82034278 0.08213 0.00104 0.06020 0.00214 4.65 1.50
5662.76574096 0.08131 0.00105 0.06225 0.00224 14.55 1.40
5663.75875103 0.08150 0.00106 0.05926 0.00294 7.25 3.00
5672.71848380 0.08133 0.00103 0.06147 0.00205 8.25 1.20
5674.73186887 0.08108 0.00103 0.06185 0.00204 3.35 1.00
5675.77838073 0.08134 0.00109 0.06366 0.00214 -12.15 1.30
5676.75948402 0.08059 0.00106 0.06384 0.00212 -9.05 1.40
5677.69188083 0.08090 0.00106 0.06324 0.00228 3.75 1.50
5678.76651339 0.08143 0.00109 0.06323 0.00216 11.25 1.50
5679.71364130 0.08148 0.00105 0.06345 0.00206 6.45 0.90
5680.62401932 0.08091 0.00108 0.06332 0.00210 -2.15 1.30
5681.67630837 0.08351 0.00105 0.06415 0.00196 -12.95 1.00
5682.67266874 0.08165 0.00107 0.06284 0.00209 -2.25 1.00
5683.62142257 0.08130 0.00104 0.06412 0.00205 13.45 1.00
5684.67392635 0.08185 0.00104 0.06160 0.00199 14.35 1.10
5685.64645049 0.08160 0.00105 0.06368 0.00205 1.55 0.90
5686.65353361 0.08118 0.00104 0.06292 0.00217 -7.25 1.40
5689.71145134 0.08181 0.00105 0.05293 0.00430 12.55 1.30
5690.73996295 0.08166 0.00108 0.06031 0.00204 -1.15 1.60
5691.69250044 0.08241 0.00105 0.06247 0.00209 -11.95 1.40
5692.71193460 0.08201 0.00108 0.06362 0.00202 -12.75 1.20
5693.75657536 0.08151 0.00105 0.06438 0.00196 -2.25 1.00
5695.62766961 0.08210 0.00104 0.06189 0.00203 12.15 0.90
# 5711.55591366 0.08252 0.00123 0.06046 0.00468 ... ...
# 5749.54860147 0.08002 0.00104 0.06499 0.00209 ... ...
# 5754.63524961 0.07902 0.00106 0.07108 0.00221 ... ...
